autodiscover.mo.fb.com AS8075 AS8075 - MICROSOFT CORPORATION US 52.96.0.0/14
autodiscover.ob.fb.com AS8075 AS8075 - MICROSOFT CORPORATION US 52.96.0.0/14
autodiscover.pdo.fb.com AS8075 AS8075 - MICROSOFT CORPORATION US 52.96.0.0/14
autodiscover.przestrzen.fb.com AS8075 AS8075 - MICROSOFT CORPORATION US 52.96.0.0/14
autodiscover.rp.fb.com AS8075 AS8075 - MICROSOFT CORPORATION US 52.96.0.0/14
autodiscover.supportcenter.fb.com AS8075 AS8075 - MICROSOFT CORPORATION US 52.96.0.0/14
autodiscover.support.fb.com AS8075 AS8075 - MICROSOFT CORPORATION US 52.96.0.0/14
autodiscover.uxr.fb.com AS8075 AS8075 - MICROSOFT CORPORATION US 52.96.0.0/14
autodiscover.waco.fb.com AS8075 AS8075 - MICROSOFT CORPORATION US 52.96.0.0/14
autodiscover.wa.fb.com AS8075 AS8075 - MICROSOFT CORPORATION US 52.96.0.0/14
autos.fb.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
au.yearinreview.fb.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
avira-free-antivirus.facebookbrand-preprod.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
bastion.primary.bcn.1.coo.eu-west-2.supernova.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 18.132.0.0/14
bastion.primary.bcn.2.coo.eu-central-1.supernova.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 3.64.0.0/12
bastion.primary.ber.2.coo.eu-central-1.supernova.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 3.64.0.0/12
bastion.primary.bkk.1.coo.ap-southeast-1.supernova.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 52.220.0.0/15
bastion.primary.bkk.2.coo.ap-southeast-1.supernova.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 122.248.192.0/18
bastion.primary.bom.1.coo.ap-southeast-1.supernova.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 54.179.0.0/17
bastion.primary.bom.2.bio.ap-southeast-1.supernova.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 13.250.0.0/15
bastion.primary.bom.3.coo.ap-southeast-1.supernova.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 54.179.192.0/18
bastion.primary.cmn.1.coo.eu-central-1.supernova.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 18.156.0.0/14
bastion.primary.cmn.2.coo.eu-central-1.supernova.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 3.64.0.0/12
bastion.primary.dfw.1.coo.us-east-1.supernova.fb.com AS14618 AS14618 - AMAZON.COM, INC. US 54.80.0.0/14
